Cluster,Index,Star,X,Y,DistSol,StarColor,StarSize,Fleet,Planet,Type,Hazard,Tectonics,Weather,Thermal,BioHazard,BioUnits,MinValue,MinVolume,Fuel,AxialTilt,Density,Radius,Gravity,Temp,Day,Atmosphere,LifeChance,DistFromStar
Achernar,,Prime,537.5,272.9,384.2,blue,dwarf,None,II,Yttric,4,4,1,1,1,0,284,70,1,3,147,35,51,-154,250,10,160,6260
Achernar,,Prime,537.5,272.9,384.2,blue,dwarf,None,I,Selenic,1,1,1,1,1,0,105,35,0.3,23,58,27,15,-147,252,0,-740,5540
Alcor,,Prime,970.8,25,804.5,blue,dwarf,None,VI-a,Oolite,3,3,2,1,1,0,933,172,0.9,-3,149,29,43,-150,241,95,560,5827
Alcor,,Prime,970.8,25,804.5,blue,dwarf,None,VI,Organic,4,4,1,1,1,0,91,91,2.1,-22,97,107,103,-150,288,0,-740,5827
Alcor,,Prime,970.8,25,804.5,blue,dwarf,None,V,Opalescent,5,5,1,1,1,0,162,63,0.4,-3,61,32,19,-143,231,0,-740,5188
Alcor,,Prime,970.8,25,804.5,blue,dwarf,None,IV,Auric,2,1,2,1,1,0,72,12,1,2,146,34,49,-106,156,10,360,3155
Alcor,,Prime,970.8,25,804.5,blue,dwarf,None,III-a,Alkali,2,2,2,1,1,0,216,72,0.6,0,96,32,30,-85,214,10,360,2509
Alcor,,Prime,970.8,25,804.5,blue,dwarf,None,III,Gas Giant,8,1,8,1,1,0,0,0,1.3,-2,20,329,65,-85,118,65535,-1,2509
Alcor,,Prime,970.8,25,804.5,blue,dwarf,None,II-b,Carbide,4,4,1,1,1,0,122,122,0.6,-19,96,30,28,-55,231,0,-740,1861
Alcor,,Prime,970.8,25,804.5,blue,dwarf,None,II,Gas Giant,8,2,8,1,1,0,0,0,3,-14,21,1360,285,-55,127,65535,-1,1861
Alcor,,Prime,970.8,25,804.5,blue,dwarf,None,II-a,Noble,1,1,1,1,1,0,408,111,0.2,-16,32,31,9,-55,281,0,-740,1861
Alcor,,Prime,970.8,25,804.5,blue,dwarf,None,II-c,Ultramarine,4,3,3,1,1,42,366,90,0.2,18,32,29,9,-55,34131,94,560,1861
Alcor,,Prime,970.8,25,804.5,blue,dwarf,None,I,Radioactive,2,1,2,1,1,0,536,67,1.1,13,196,29,56,23,228,11,760,1208
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,IX-a,Quasi-Degenerate,5,5,1,1,1,0,425,17,1.1,-10,155,35,54,-164,230,0,-940,7448
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,IX,Ultraviolet,3,3,2,1,1,0,550,108,3,-11,151,106,160,-164,222,84,360,7448
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,VIII,Gas Giant,8,2,8,1,1,0,0,0,3,31,21,1206,253,-156,129,65535,-1,6404
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,VIII-a,Selenic,3,3,1,1,1,0,78,26,0.4,-3,60,35,21,-156,299,0,-940,6404
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,VII,Halide,1,1,1,1,1,0,430,110,0.3,-2,63,25,15,-143,210,0,-740,5219
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,VI,Noble,1,1,1,1,1,0,167,53,0.2,-31,34,35,11,-135,210,0,-740,4652
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,V-a,Alkali,4,4,2,1,1,50,183,61,0.7,-9,96,35,33,-120,290,14,360,3764
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,V-b,Cyanic,3,3,1,1,1,0,49,49,0.2,5,33,31,10,-120,212,0,-740,3764
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,V,Gas Giant,8,3,8,1,1,0,0,0,1.9,-9,20,465,93,-120,141,65535,-1,3764
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,V-c,Radioactive,3,3,1,1,1,0,1512,189,1.5,-29,206,37,76,-120,174,0,-740,3764
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,V-d,Yttric,2,2,2,1,1,7,570,114,0.9,-11,147,32,47,-120,170,10,360,3764
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,IV,Oolite,4,4,3,1,1,10,1015,186,1.1,26,144,37,53,-90,266,104,410,2627
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,III,Alkali,4,4,2,1,1,8,174,58,0.5,-12,105,26,27,-71,12650,11,360,2168
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,II-a,Noble,2,1,2,1,2,64,288,72,0.2,-18,33,32,10,32,212,15,860,1093
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,II,Ultraviolet,6,6,5,2,5,62,1020,257,2.6,-1,143,91,130,95,178,206,560,1093
Aldebaran,,Prime,737.5,356.2,600.6,blue,dwarf,None,I,Alkali,7,3,6,7,1,0,27,9,0.6,25,99,29,28,649,253,226,-290,430
